2020-09-11 23:05:24,770 [Worker-186] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:24,772 [Worker-186] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:05:39,686 [Worker-183] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:39,708 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:05:39,729 [Worker-183] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:39,732 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:05:50,252 [Worker-188] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:50,266 [Worker-188] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:05:50,282 [Worker-188] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:50,284 [Worker-188] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:06:48,880 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:06:48,893 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:06:48,904 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:06:48,906 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:06:50,527 [Worker-189] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:06:50,542 [Worker-189] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:06:50,646 [Worker-189] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:06:50,648 [Worker-189] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:09:05,424 [Worker-186] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
